Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
9892;Potgieterstraat;Parkeerplaats;1.0;"{""coordinates"": [5.476689639001826, 51.431582454658404], ""type"": ""Point""}";51.431582454658404,5.476689639001826
9894;Potgieterstraat;Parkeerplaats;1.0;"{""coordinates"": [5.476807123063313, 51.43166168936148], ""type"": ""Point""}";51.43166168936148,5.476807123063313
9897;Edenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.477245365130035, 51.43154017746631], ""type"": ""Point""}";51.43154017746631,5.477245365130035
9898;Philitestraat;Parkeerplaats laden/lossen;1.0;"{""coordinates"": [5.45682286377073, 51.44901986427776], ""type"": ""Point""}";51.44901986427776,5.45682286377073
9905;Kronehoefstraat;Parkeerplaats;1.0;"{""coordinates"": [5.466790037891208, 51.452124981508234], ""type"": ""Point""}";51.452124981508234,5.466790037891208
9911;Kronehoefstraat;Parkeerplaats;1.0;"{""coordinates"": [5.46730768198891, 51.45213247346226], ""type"": ""Point""}";51.45213247346226,5.46730768198891
9912;Kronehoefstraat;Parkeerplaats;1.0;"{""coordinates"": [5.467394001198314, 51.452132414016596], ""type"": ""Point""}";51.452132414016596,5.467394001198314
9914;Kronehoefstraat;Parkeerplaats laden/lossen;1.0;"{""coordinates"": [5.467566134606305, 51.45214043811088], ""type"": ""Point""}";51.45214043811088,5.467566134606305
9922;Benedictusstraat;Parkeerplaats Gehandicapten;1.0;"{""coordinates"": [5.468028294136795, 51.45196590072531], ""type"": ""Point""}";51.45196590072531,5.468028294136795
10173;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474849212811358, 51.43396800823116], ""type"": ""Point""}";51.43396800823116,5.474849212811358
10180;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474877097099587, 51.433958220134436], ""type"": ""Point""}";51.433958220134436,5.474877097099587
10184;Deken van Somerenstraat;Parkeerplaats;1.0;"{""coordinates"": [5.474778519239509, 51.433928868124774], ""type"": ""Point""}";51.433928868124774,5.474778519239509
