ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308023.0;Bestaand;Allegro;2.0;2022-09-27T04:00:00+02:00;Baristraat;"{""coordinates"": [5.502956957437863, 51.48540026103334], ""type"": ""Point""}";51.48540026103334,5.502956957437863
308027.0;;;;;;"{""coordinates"": [5.527086290712685, 51.445403633261726], ""type"": ""Point""}";51.445403633261726,5.527086290712685
308034.0;;;;;;"{""coordinates"": [5.52049075548566, 51.44811012597332], ""type"": ""Point""}";51.44811012597332,5.52049075548566
308035.0;Bestaand;Allegro;2.0;2022-09-12T04:00:00+02:00;Orleanhof HU 48;"{""coordinates"": [5.448028418386353, 51.48481747186417], ""type"": ""Point""}";51.48481747186417,5.448028418386353
308230.0;;;;;;"{""coordinates"": [5.512659962046926, 51.426760961898495], ""type"": ""Point""}";51.426760961898495,5.512659962046926
308233.0;;;;;;"{""coordinates"": [5.5130590341635655, 51.42718648699631], ""type"": ""Point""}";51.42718648699631,5.5130590341635655
308234.0;;;;;;"{""coordinates"": [5.512666854477564, 51.426841187471034], ""type"": ""Point""}";51.426841187471034,5.512666854477564
308241.0;;;;;;"{""coordinates"": [5.512350793658916, 51.425953975885676], ""type"": ""Point""}";51.425953975885676,5.512350793658916
308242.0;;;;;;"{""coordinates"": [5.512514420440977, 51.42656668439057], ""type"": ""Point""}";51.42656668439057,5.512514420440977
308245.0;;;;;;"{""coordinates"": [5.512851396187952, 51.4269481335892], ""type"": ""Point""}";51.4269481335892,5.512851396187952
308247.0;;;;;;"{""coordinates"": [5.512831450875988, 51.427088216794296], ""type"": ""Point""}";51.427088216794296,5.512831450875988
308249.0;;;;;;"{""coordinates"": [5.512497445284914, 51.426406623170735], ""type"": ""Point""}";51.426406623170735,5.512497445284914
308251.0;;;;;;"{""coordinates"": [5.512700361468031, 51.427130254422025], ""type"": ""Point""}";51.427130254422025,5.512700361468031
308227.0;Bestaand;Allegro;2.0;2022-06-30T04:00:00+02:00;Bastenakenlaan;"{""coordinates"": [5.4792009232597065, 51.48186064982143], ""type"": ""Point""}";51.48186064982143,5.4792009232597065
308258.0;;;;;;"{""coordinates"": [5.512807569233255, 51.427114777156376], ""type"": ""Point""}";51.427114777156376,5.512807569233255
308259.0;;;;;;"{""coordinates"": [5.51222657657249, 51.42599480111304], ""type"": ""Point""}";51.42599480111304,5.51222657657249
308265.0;;;;;;"{""coordinates"": [5.512940916288977, 51.42730224505044], ""type"": ""Point""}";51.42730224505044,5.512940916288977
308274.0;Bestaand;;2.0;2022-08-23T04:00:00+02:00;Waterlinie, achterzijde HU 97;"{""coordinates"": [5.3932697472410105, 51.43630257983151], ""type"": ""Point""}";51.43630257983151,5.3932697472410105
308275.0;Aangevraagde locatie;;2.0;2022-08-30T04:00:00+02:00;;"{""coordinates"": [5.443433380573304, 51.44781123589182], ""type"": ""Point""}";51.44781123589182,5.443433380573304
